Disaster Number,Year,Region,Region Number,State Abbreviation,State,County,Declaration Date,Disaster Type,Incident Type,Title,Incident Begin Date,Incident End Date,Disaster Close Out Date,fips,state_fips,county_fips,school_district,declaration_date,ibtracs_storm_id,ibtracs_storm_name,ibtracs_storm_season
107,1960,Region IV,4,NC,North Carolina,Statewide,9/16/60,DR,Hurricane,HURRICANE DONNA,9/16/60,9/16/60,3/30/62,37000.0,37,,,1960-09-16 18:00:00,2273.0,DONNA,1960.0
118,1961,Region VI,6,TX,Texas,Statewide,9/16/61,DR,Hurricane,HURRICANE CARLA,9/16/61,9/16/61,5/4/64,48000.0,48,,,1961-09-16 18:00:00,2329.0,CARLA,1961.0
177,1964,Region IV,4,GA,Georgia,Statewide,9/10/64,DR,Hurricane,HURRICANE DORA,9/10/64,9/10/64,4/18/66,13000.0,13,,,1964-09-10 18:00:00,2549.0,DORA,1964.0
106,1960,Region IV,4,FL,Florida,Statewide,9/12/60,DR,Hurricane,HURRICANE DONNA,9/12/60,9/12/60,5/24/62,12000.0,12,,,1960-09-12 18:00:00,2273.0,DONNA,1960.0
176,1964,Region IV,4,FL,Florida,Statewide,9/10/64,DR,Hurricane,HURRICANE DORA,9/10/64,9/10/64,8/8/66,12000.0,12,,,1964-09-10 18:00:00,2549.0,DORA,1964.0
159,1963,Region VI,6,TX,Texas,Statewide,9/24/63,DR,Hurricane,HURRICANE CINDY,9/24/63,9/24/63,1/28/66,48000.0,48,,,1963-09-24 18:00:00,2486.0,CINDY,1963.0
175,1964,Region IV,4,FL,Florida,Statewide,9/8/64,DR,Hurricane,HURRICANE CLEO,9/8/64,9/8/64,1/18/66,12000.0,12,,,1964-09-08 18:00:00,2547.0,CLEO,1964.0
178,1964,Region VI,6,LA,Louisiana,Statewide,10/3/64,DR,Hurricane,HURRICANE HILDA,10/3/64,10/3/64,1/17/67,22000.0,22,,,1964-10-03 18:00:00,2560.0,HILDA,1964.0
208,1965,Region VI,6,LA,Louisiana,Catahoula Parish,9/10/65,DR,Hurricane,HURRICANE BETSY,9/10/65,9/10/65,3/27/74,22025.0,22,25.0,,1965-09-10 18:00:00,2630.0,BETSY,1965.0
208,1965,Region VI,6,LA,Louisiana,Ouachita Parish,9/10/65,DR,Hurricane,HURRICANE BETSY,9/10/65,9/10/65,3/27/74,22073.0,22,73.0,,1965-09-10 18:00:00,2630.0,BETSY,1965.0
208,1965,Region VI,6,LA,Louisiana,St. Landry Parish,9/10/65,DR,Hurricane,HURRICANE BETSY,9/10/65,9/10/65,3/27/74,22097.0,22,97.0,,1965-09-10 18:00:00,2630.0,BETSY,1965.0
209,1965,Region IV,4,FL,Florida,Broward County,9/14/65,DR,Hurricane,HURRICANE BETSY,9/14/65,9/14/65,5/18/67,12011.0,12,11.0,,1965-09-14 18:00:00,2630.0,BETSY,1965.0
210,1965,Region IV,4,MS,Mississippi,Wilkinson County,9/25/65,DR,Hurricane,HURRICANE BETSY,9/25/65,9/25/65,11/18/68,28157.0,28,157.0,,1965-09-25 18:00:00,2630.0,BETSY,1965.0
210,1965,Region IV,4,MS,Mississippi,Adams County,9/25/65,DR,Hurricane,HURRICANE BETSY,9/25/65,9/25/65,11/18/68,28001.0,28,1.0,,1965-09-25 18:00:00,2630.0,BETSY,1965.0
208,1965,Region VI,6,LA,Louisiana,East Baton Rouge Parish,9/10/65,DR,Hurricane,HURRICANE BETSY,9/10/65,9/10/65,3/27/74,22033.0,22,33.0,,1965-09-10 18:00:00,2630.0,BETSY,1965.0
208,1965,Region VI,6,LA,Louisiana,Plaquemines Parish,9/10/65,DR,Hurricane,HURRICANE BETSY,9/10/65,9/10/65,3/27/74,22075.0,22,75.0,,1965-09-10 18:00:00,2630.0,BETSY,1965.0
208,1965,Region VI,6,LA,Louisiana,St. Martin Parish,9/10/65,DR,Hurricane,HURRICANE BETSY,9/10/65,9/10/65,3/27/74,22099.0,22,99.0,,1965-09-10 18:00:00,2630.0,BETSY,1965.0
209,1965,Region IV,4,FL,Florida,Collier County,9/14/65,DR,Hurricane,HURRICANE BETSY,9/14/65,9/14/65,5/18/67,12021.0,12,21.0,,1965-09-14 18:00:00,2630.0,BETSY,1965.0
210,1965,Region IV,4,MS,Mississippi,Amite County,9/25/65,DR,Hurricane,HURRICANE BETSY,9/25/65,9/25/65,11/18/68,28005.0,28,5.0,,1965-09-25 18:00:00,2630.0,BETSY,1965.0
